GEO_ID,NAME,TOTALPOPULATION,TOTALLESSTHAN5MINUTES,PERCENT LESS THAN 5
Geography,Geographic Area Name,TOTAL,TOTAL,PERCENTAGE
13001,"Appling County, Georgia",7507,337,4.489143466
13003,"Atkinson County, Georgia",2668,44,1.649175412
13005,"Bacon County, Georgia",3789,65,1.715492214
13007,"Baker County, Georgia",-1,-1,-1
13009,"Baldwin County, Georgia",14857,479,3.224069462
13011,"Banks County, Georgia",4117,176,4.274957493
13013,"Barrow County, Georgia",21410,587,2.741709482
13015,"Bartow County, Georgia",40014,597,1.491977808
13017,"Ben Hill County, Georgia",7321,292,3.988526158
13019,"Berrien County, Georgia",4710,459,9.74522293
13021,"Bibb County, Georgia",79101,2150,2.71804402
13023,"Bleckley County, Georgia",2515,199,7.912524851
13025,"Brantley County, Georgia",2040,124,6.078431373
13027,"Brooks County, Georgia",2999,435,14.50483494
13029,"Bryan County, Georgia",8073,237,2.935711631
13031,"Bulloch County, Georgia",29586,1065,3.599675522
13033,"Burke County, Georgia",11822,531,4.491625782
13035,"Butts County, Georgia",6947,200,2.87894055
13037,"Calhoun County, Georgia",1502,114,7.58988016
13039,"Camden County, Georgia",20992,401,1.910251524
13043,"Candler County, Georgia",3266,201,6.154317208
13045,"Carroll County, Georgia",43714,1213,2.774854738
13047,"Catoosa County, Georgia",16642,524,3.148660017
13049,"Charlton County, Georgia",2747,28,1.019293775
13051,"Chatham County, Georgia",165745,4222,2.547286494
13053,"Chattahoochee County, Georgia",13342,1275,9.556288413
13055,"Chattooga County, Georgia",6620,311,4.697885196
13057,"Cherokee County, Georgia",66510,1299,1.953089761
13059,"Clarke County, Georgia",73008,1570,2.150449266
13061,"Clay County, Georgia",679,70,10.30927835
13063,"Clayton County, Georgia",111572,1127,1.010110063
13065,"Clinch County, Georgia",2287,178,7.783121994
13067,"Cobb County, Georgia",332958,4053,1.217270647
13069,"Coffee County, Georgia",18253,371,2.032542596
13071,"Colquitt County, Georgia",16029,667,4.161207811
13073,"Columbia County, Georgia",39210,523,1.333843407
13075,"Cook County, Georgia",5861,161,2.746971507
13077,"Coweta County, Georgia",43204,942,2.180353671
